텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
"안녕하세요 #{수신자명}님, 세금환급액은 약 #{환급액}원입니다.  계좌에 입금이 안 된 경우, 국세청 계좌등록이 안되어 있으신 경우라, 세무서에서 환급통지서로 발송이 되어 환급받으실 수 있으니 통지서 확인 부탁드립니다.  감사합니다.",법적고지,주문/예약,환급액 안내,JOBER0529_1638780343487,자세히 확인하기,,금융,공지/안내,,,
"#{수신자명}님, 신청하신 광고캠페인이 검토를 마치고 승인되었습니다.  ▶광고: #{광고} ▶금액: #{금액} 원 ▶진행 기간: #{진행 기간}  감사합니다.",리포팅,피드백,광고캠페인 승인 완료,JOBER0529_1642753347509,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문내역을 알려드립니다.   ▶ 주문번호 : #{주문번호} ▶ 주문일시 : #{주문일시} ▶ 주문상품 : #{주문상품}  아래 버튼을 클릭하시면 상세한 주문내역을 확인하실 수 있습니다.",구매,구매완료,주문 내역 안내,JOBER0529_1656053746952,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 배달이 취소되었습니다. 취소된 내역을 확인하시고 본인이 주문하시지 않은 경우 연락 부탁드립니다.  ▶ 주문 일시 : #{주문 일시} ▶ 주문 내역 : #{주문 내역} ▶ 취소 내역 : #{취소 내역}  다시 주문을 하시려면 아래 ""주문하기"" 를 눌러주세요.",배송,배송상태,배달 취소 안내,JOBER0529_1656223976832,자세히 확인하기,,서비스업,공지/안내,,,
"#{수신자명} 고객님, 주문하신 상품이 갑자기 품절되어 연락 드립니다.  ▶ 상품명 : #{상품명} ▶ 주문내역 : #{주문내역}  다른 상품으로 교환 또는 환불 처리 도와드리도록 하겠습니다. 어떤 처리를 원하시는지 연락 부탁드립니다. 번거롭게 해드려 죄송합니다.  ▶ 고객센터 : #{고객센터}",구매,구매취소,품절 취소 안내,JOBER0529_1656224018793,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}님! 결제가 완료되었습니다.  ▶ 주문 상품 : #{주문 상품} ▶ 주문 번호 : #{주문 번호} ▶ 금액 : #{금액}  배송이 시작되면 알려드리겠습니다. 감사합니다.,배송,배송상태,결제 완료,JOBER0529_1656224059698,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 반품 신청이 #{반품신청 상태} 되었습니다.  ▶ 수거예정일 : #{수거예정일} ▶ 상품정보 : #{상품정보} ▶ 수거지 주소 : #{수거지 주소}  ※ 환불 안내 : 상품 수거 후 결제 취소 예정  감사합니다.",배송,배송상태,반품 접수 완료 안내,JOBER0529_1656224111719,자세히 확인하기,,소매업,신청,,,
#{수신자명}님께서 신청하신 환불이 완료 처리되었습니다.  ▶ 주문 번호 : #{주문 번호} ▶ 취소 상품 : #{취소 상품} ▶ 환불 금액 : #{환불 금액}  취소일로부터 2~7일 이내 결제 수단으로 승인 취소 확인이 가능하며 카드 결제일에 따라 카드사를 통해 환불됩니다..  관련하여 궁금하신 부분이나 자세한 사항을 확인하시고 싶으신 경우 홈페이지 또는 고객센터로 문의주세요.,구매,구매취소,환불 안내,JOBER0529_1656295901041,자세히 확인하기,,서비스업,공지/안내,,,
"#{수신자명}님, 신청하신 정산 내용을 확인해 주세요.  ▶정산 신청 금액: #{정산 신청 금액} 원 ▶정산 신청일: #{정산 신청일}  감사합니다.",서비스이용,이용안내/공지,정산 신청 완료,JOBER0529_1642751850875,자세히 확인하기,,기타,공지/안내,,,
"#{수신자명}님, 광고캠페인이 진행 중입니다.  ▶광고 이름: #{광고 이름} ▶금액: #{금액}원  * 해당 캠페인 오픈 알림 메시지는 고객님의 신청에 의해 발송됩니다.",기타,기타,광고캠페인 오픈,JOBER0529_1642751962331,자세히 확인하기,,서비스업,공지/안내,,,
"#{수신자명}님, 신청하신 광고캠페인은 검토 결과 진행이 거절되었습니다  ▶광고: #{광고} ▶거절 이유: #{거절 이유}  다른 제안이 들어올 수 있도록 광고를 먼저 찜 해보세요.",리포팅,피드백,광고캠페인 진행 불가 안내,JOBER0529_1642753303230,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 #{이용서비스} 가 미납으로 확인되어 연락 드립니다.   아직 수납하지 못하셨다면 #{수납처} 로 빠른 수납 부탁드리겠습니다.  ▶ 관련문의 : #{관련문의}  감사합니다.",법적고지,주문/예약,미납안내,JOBER0529_1656053723228,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님,  상품을 주문하는 과정에서 차액이 발생하여 결제 금액이 변동되었음을 안내해 드립니다.  ▶ 상품명 : #{상품명} ▶ 변동 후 결제금액 : #{변동 후 결제금액} ▶ 차액 : #{차액}  고객님이 요청하신 결제일에 변동 후 금액이 결제됩니다. 기타 문의가 있는 경우 고객센터 또는 홈페이지에 문의해주세요.",구매,구매완료,결제금액 변동 안내,JOBER0529_1656221892031,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. 알림 신청하신 상품의 재고가 다시 채워져 안내해 드립니다.  ▶ 상품명 : #{상품명} ▶ 신청자 : #{신청자}  해당 상품의 자세한 내용은 홈페이지에서 확인해주세요.  감사합니다.,구매,구매완료,재고 안내,JOBER0529_1656221967071,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{서류명} 서류가 아직 제출되지 않았습니다.  ▶ 서류 제출 기한일 : #{제출기한일}  #{서류명} 서류는 #{제출기한일} 이내로 제출되어야 합니다. 기한 이내 제출되지 않을 경우 추가 신청이 불가합니다.  감사합니다.",서비스이용,이용안내/공지,제출서류 안내,JOBER0529_1656221823350,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명} 회원님, 신청하신 수강권이 지급 완료되었습니다.  수강권을 등록하시고, 주의 사항 확인 부탁드립니다.  ▶ 수강권 : #{수강권} ▶ 수강권 등록 방법 : #{수강권 등록 방법} ▶ 주의 사항 : #{주의 사항}  자세한 내용은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,수강권 사용 등록 완료 안내,JOBER0529_1656221929854,자세히 확인하기,,교육,신청,,,
"고객님, 축하드립니다! 고객님이 응모하신 이벤트에 당첨되셨습니다.  자세한 내용은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,응모 당첨 안내,JOBER0529_1638782420182,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, #{수업명} 수업 후기가 등록되었습니다. 회원님의 후기를 확인하시고 답글을 달아주세요.",서비스이용,이용안내/공지,후기 등록 완료,JOBER0529_1638782606467,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 거래가 완료 되었습니다.  자세한 내역은 아래 버튼을 클릭하여 확인해주세요.",서비스이용,이용안내/공지,거래완료알림,JOBER0529_1638782649515,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 행사에 참여해주셔서 감사합니다.  ▶ 성함 : #{성함} ▶ 날짜 : #{날짜} ▶ 장소 : #{장소}  날짜와 장소를 확인해주세요.  ※ 해당 메시지는 고객님의 알림 신청에 의해 발송되는 일회성 메시지입니다.",서비스이용,이용안내/공지,행사 안내,JOBER0529_1656221993271,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{발신 스페이스}을 이용해주셔서 감사합니다. 회원님께서 신청하신 #{이벤트명} 이벤트의 응모가 완료되었습니다.  자세한 내용은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,응모완료안내,JOBER0529_1638782384529,자세히 확인하기,,기타,신청,,,
"안녕하세요 #{수신자명}님, 회원님의 #{상품명} 이용 종료일이 임박하여 연장안내 드립니다.  [상품정보] ▶ 이용기간 : #{이용기간}  ※ 이 메시지는 고객님의 동의에 의해 발송되는 상품 안내 메시지입니다.",서비스이용,이용안내/공지,연장 안내,JOBER0529_1650507255660,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 님, #{수신자명}님이 작성하신 제안서가 채택되었습니다.  연락 부탁드리겠습니다. 감사합니다.  ▶ 제안서 : #{제안서}",서비스이용,이용안내/공지,제안서 채택 알림,JOBER0529_1638781786178,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요. 입니다.  이벤트 당첨자 발표 안내드립니다. 이번 이벤트에 참여해 주신 것을 진심으로 감사드립니다.  상품 배송은 순차적으로 도와드릴 예정이며, 상품에 대한 솔직한 평가를 남겨주시면 감사드리겠습니다.  감사합니다.  ※ 이 메시지는 고객님의 이벤트 신청 결과 안내 메시지입니다.",서비스이용,피드백 요청,리뷰 이벤트 당첨 안내,JOBER0529_1650507545768,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님,  요청하신 견적 접수되었습니다. 빠른 시일 내에 상담하도록 하겠습니다 감사합니다.  <문의사항> ▶ 고객센터 : #{고객센터} ▶ 이메일 : #{이메일}",서비스이용,신청접수,견적 접수 안내,JOBER0529_1655977972095,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. #{수신자명}고객님. 이번 달의 베스트 리뷰로 선정되어, 혜택 안내드립니다.  ▶ 베스트 리뷰 상품 : #{베스트 리뷰 상품} ▶ 주소 : #{주소}  앞으로도 많은 관심 부탁드립니다. 감사합니다.  ※ 최근 주문하신 주소지로 보내드리오니, 변경이 필요할 시 문의 부탁드립니다.",서비스이용,이용안내/공지,베스트 리뷰 선정 안내,JOBER0529_1655977885758,자세히 확인하기,,소매업,공지/안내,,,
#{수신자명}님의 이번 달 정산이 완료되었습니다.  ▶ 정산액 : #{정산액} ▶ 입금은행 : #{입금은행} ▶ 입금계좌 : #{입금계좌}  앞으로도 많은 이용 부탁드려요. 감사합니다.,리포팅,요금청구,정산 완료 안내,JOBER0529_1656222203928,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요, 발신 스페이스입니다.  이번 달 책자가 발행되어, 신청하신 정기 발행 책자 안내해 드립니다.  아래 버튼을 클릭하여 책자를 확인해 주세요!  ※ 해당 메시지는 고객님의 신청에 의해 발송됩니다.",서비스이용,이용안내/공지,책자 발행 알림,JOBER0529_1656222260126,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 현재 교통상황으로 인해 당일배송으로 수령하시는 상품의 배송시간이 지연될 수 있어 안내드립니다.  #{배송 예전시각} 이전까지는 배송이 완료될 것으로 예상되며, 최대한 빠르게 배송해드릴 수 있도록 최선을 다하겠습니다.  ▶배송업체: #{배송업체} ▶송장번호: #{송장번호}  감사합니다.",배송,배송상태,당일 배송 지연 안내,JOBER0529_1643003957754,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. #{수신자명} 고객님.  주문하신 상품이 아래 시간에 도착할 예정입니다.  ▶도착예정시간: #{도착예정시간} ▶배송업체: #{배송업체} ▶송장번호: #{송장번호}  #{서비스}을 이용해 주셔서 감사합니다.,배송,배송예정,배송 도착 예정 시간 안내,JOBER0529_1643003972128,자세히 확인하기,,소매업,공지/안내,,,
#{수신자명}님 안녕하세요.  변경 계약체결이 완료되었습니다.  ▶ 계약 번호 : #{계약 번호} ▶ 계약 금액 : #{계약 금액} ▶ 계약자 : #{계약자}  <계약서 조회 방법> #{조회 방법}  감사합니다.,법적고지,주문/예약,계약 완료 안내,JOBER0529_1656222050933,자세히 확인하기,,금융,공지/안내,,,
#{수신자명}님 안녕하세요.  작성하신 제안서가 성공적으로 전송되었습니다.  ▶ 문의서 제목 : #{문의서 제목} ▶ 제안서 제목 : #{제안서 제목}  담당자가 제안서를 열람 및 채택하기까지 기다려주세요.,서비스이용,이용안내/공지,제안서 도착 알림,JOBER0529_1656222087704,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 신청하신 응모권이 발급되었습니다. 유효기간 이내에 응모해보세요!  ▶ 응모권 : #{응모권} ▶ 유효 기간 : #{유효 기간} ▶ 사용 방법 : #{사용 방법}  응모 결과 및 기타 문의 사항은 홈페이지에서 확인해주세요.  ※ 이 메시지는 신청하신 응모권 지급 안내 메시지입니다.",쿠폰/포인트,쿠폰발급,응모권 발급 안내,JOBER0529_1656222121831,자세히 확인하기,,기타,신청,,,
"안녕하세요 #{수신자명}님,  결과가 홈페이지에 발표되었습니다. 하단 ""결과보기"" 클릭하시어 확인 부탁드립니다.  ▶ 문의사항 : #{문의사항}",서비스이용,이용안내/공지,결과 확인 안내,JOBER0529_1656291393694,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 이번 주 발송 예정이던 #{상품명}의 품질이 너무 좋지 못하여 다음 주로 배송을 연기하고자 합니다.  조금만 기다려주시면 좋은 품질의 물건으로 보답해드리겠습니다.  ▶배송 예정 시작일 : #{배송 예정 시작일}  배송이 연기된 점 양해 부탁 드리며, 항상 이용해 주셔서 감사합니다.",배송,배송예정,배송 연기 안내,JOBER0529_1642987086529,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}님. 주문하신 상품의 송장번호가 변경되었습니다.  ▶택배사: #{택배사} ▶주문번호: #{주문번호} ▶송장번호: #{송장번호}  확인 부탁드립니다. 감사합니다.,배송,배송상태,송장번호 변경 안내,JOBER0529_1643003565334,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 요청하신 신규 발간 안내해 드립니다.  ▶ 상품명 : #{상품명} ▶ 발간일 : #{발간일}  ※ 이 메시지는 정기 발간 안내를 요청하신 회원에게 전송되는 메시지입니다.",서비스이용,이용안내/공지,신규 발간 안내,JOBER0529_1656222434696,자세히 확인하기,,금융,공지/안내,,,
"안녕하세요 #{수신자명}님, 이 메시지는 정보통신망법에 따라 2년 마다 발송되는 광고성 정보 수신동의를 확인하는 메시지 입니다.  ▶ 이전 수신동의일자: #{이전 수신동의일자}  앞으로도 유익한 소식과 다양한 혜택으로 찾아 뵙겠습니다.  메시지 수신을 원치 않으시면 [마이페이지] > [개인정보 수정] > [마케팅 수신 동의] #{서비스} 에서 혜택 정보 받기 체크를 수신동의를 해제하시면 됩니다.  *수신동의 철회시에서 제공하는 서비스 및 혜택 안내를 받아 보실 수 없습니다.",서비스이용,이용안내/공지,광고 수신 동의,JOBER0529_1638770087395,자세히 확인하기,,서비스업,회원 관리,,,
안녕하세요. 이용해 주셔서 감사합니다. 본 메시지는 개인정보보호법에 따라 광고성 정보 수신 여부를 확인하기 위해 발송되었습니다.  ▶수신거부 일자 : #{수신거부 일자} ▶수신거부 항목 : 이벤트/혜택 정보(마케팅) 수신거부,리포팅,뉴스레터,이벤트/혜택 정보 수신 거부 안내,JOBER0529_1642748624420,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 이번 교육을 신청해주신 회원님께 감사드리며 교육 내용 안내해 드립니다.  ▶ 교육명 : #{교육명} ▶ 교육 내용 : #{교육 내용} ▶ 교육 일시 : #{교육 일시}  교육에 대한 자세한 사항은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,교육 안내,JOBER0529_1656303910583,자세히 확인하기,,교육,신청,,,
"안녕하세요 #{수신자명} 멤버님. #{발신 스페이스}입니다.  #{발신 스페이스}에서 시작되는 온라인 라이브 교육 안내해 드립니다. 온라인 수업은 #{수업 방식}으로 진행되며 접속 시, 메일로 드리는 안내문 참고 부탁드립니다.  ※ 강연 입장 시, 오디오 OFF 설정 부탁드립니다. ※ 늦지 않게 입장해주세요.",서비스이용,이용안내/공지,개강 안내,JOBER0529_1656223827929,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 주문하신 상품이 매장에 도착하였습니다.  ▶상품: #{상품} ▶방문 시간: #{방문 시간}  상품 수령해주시기 바랍니다. 감사합니다.",서비스이용,방문서비스,주문 상품 도착 안내,JOBER0529_1642987636918,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 고객님이 주문하신 상품이 출고 되었으나, 택배 파업으로 인해 고객님 배송지로 도착하지 못하고 저희 측으로 반송되었습니다. 현재 파업으로 인해 재출고 또한 하지 못하는 상황입니다.  주문건을 취소하실지 혹은 파업 종료시까지 대기하실지 확인하여 전화 주시면 감사하겠습니다.  불편을 드려 죄송합니다.  ▶고객센터: #{고객센터}",배송,배송실패,배송 실패 안내,JOBER0529_1642987732262,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 구매하신 #{상품명} 상품은 묶음배송이 불가하여, 부득이하게 개별배송됩니다.  궁금하신 점은 아래 전화로 문의 주세요. ▶ 고객센터 : #{고객센터}  조금만 기다려주세요! 감사합니다!",배송,배송상태,개별 배송 안내,JOBER0529_1650346717889,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{상품명}이 배송될 예정입니다. 배송지 변경을 원하시는 경우 또는 주소가 정상적으로 입력되지 않은 경우 아래 주소에서 변경 부탁드리겠습니다.",배송,배송상태,배송 주소지 확인 알림,JOBER0529_1650346772803,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. #{수신자명}님, 주문하신 상품이 배송 완료되었습니다.  ▶주문번호: #{주문번호} ▶송장번호: #{송장번호} ▶택배사 : #{택배사}  이용해주셔서 감사합니다. 구매하신 상품이 마음에 드셨다면, 소중한 리뷰를 남겨주세요.",배송,배송완료,배송 완료 안내,JOBER0529_1650346800880,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 요청하신 상품의 수선이 완료 되어 발송 예정입니다.  ▶ 택배사 : #{택배사} ▶ 송장번호 : #{송장번호} ▶ 상품명 : #{상품명}  배송은 2~3일 정도 소요됩니다. 감사합니다.",배송,배송예정,수선 완료 배송 예정 안내,JOBER0529_1655974512178,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}님.  주문하신 상품이 발송 되었습니다.  ▶ 주문자명 : #{주문자명} ▶ 날짜 : #{날짜} ▶ 상품명 : #{상품명} ▶ 택배사 : #{택배사} ▶ 운송장번호 : #{운송장번호}  공휴일 제외 1~2일 내에 배송될 예정입니다.,배송,배송상태,상품 발송,JOBER0529_1655975270167,자세히 확인하기,,소매업,공지/안내,,,
고객님께서 예약하신 음식을 내일 요청하신 시간에 맞춰 배달해드릴 예정입니다.  자세한 정보는 아래 홈페이지에서 확인해주세요.  이용을 감사드립니다.,배송,배송예정,배달 안내,JOBER0529_1655978098998,자세히 확인하기,,서비스업,예약,,,
안녕하세요 #{수신자명} 고객님. 주문하신 제품이 배송 완료되었습니다.  ▶ 주문번호 : #{주문번호} ▶ 배송업체 : #{배송업체} ▶ 송장번호 : #{송장번호}  구매하신 제품은 잘 받아보셨나요? 오늘도 제품을 구매해주셔서 감사합니다.,배송,배송완료,배송 완료,JOBER0529_1655978227613,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}고객님, 입니다.  주문하신 상품 배송이 완료되었습니다.  ▶ 상품명 : #{상품명} ▶ 주문번호 : #{주문번호}  배송 받으신 상품이 마음에 드셨다면 지금 바로 구매 확정해주세요. 구매 확정을 해주시면 추가 혜택이 지급됩니다. 자세한 내용은 홈페이지에서 확인해주세요.",구매,구매완료,구매 확정 요청,JOBER0529_1655978266581,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}고객님. #{상품명} 샘플 상품은 잘 받아보셨나요?  보내드린 상품을 수령하신 후 충분히 사용해보시고 마음에 드신다면 홈페이지에서 직접 확인해보세요.  항상 이용에 감사드립니다.,서비스이용,이용안내/공지,샘플 배송 완료,JOBER0529_1655978310388,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}고객님. 주문하신 상품이 출고 완료되었습니다.  ▶ 택배사 : #{택배사} ▶ 운송장번호 : #{운송장번호}  빠르고 안전한 배송을 위해 최선을 다하겠습니다. 감사합니다.,배송,배송완료,출고 완료 안내,JOBER0529_1655978342533,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문하신 상품의 배송이 시작되었습니다.  ▶ 주문상품명 : #{주문상품명} ▶ 송장번호 : #{송장번호} ▶ 택배사명 : #{택배사명}  상세한 정보는 아래 배송조회 통해 확인해 주세요.",배송,배송상태,배송 출발 안내,JOBER0529_1656052794783,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문하신 제품이 배송 지연 중입니다.  ▶지연사유: #{지연사유} ▶예상 배송 시작일: #{예상 배송 시작일} ▶배송업체: #{배송업체} ▶송장번호: #{송장번호}  빠른 배송을 위해 최선을 다하겠습니다. 감사합니다.",배송,배송상태,배송 지연 안내,JOBER0529_1656053987456,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}님의 상품이 #{배송 예정일}에 도착 예정입니다.  배송 예상 도착 시간은 교통상황에 따라 변경될 수 있습니다.  정확한 예상 도착 시간 서비스를 위해 출입 시 현관 비밀번호가 있을 경우 홈페이지 고객센터에 말씀해주세요.  <주문정보> ▶ 송장번호 : #{송장번호} ▶ 택배사 : #{택배사} ▶ 상품명 : #{상품명}  감사합니다.,배송,배송상태,배송 예상 도착 시간 서비스,JOBER0529_1656054279846,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 주문하신 제품을 부분 발송하였습니다.  나머지 제품도 최대한 빠른 시일 내에 받아보실 수 있도록 노력하겠습니다! 조금만 기다려주세요.  ▶ 택배사 : #{택배사} ▶ 송장번호 : #{송장번호} ▶ 상품명 : #{상품명}  공휴일 제외 1~3일 내에 배송될 예정입니다.  감사합니다.",배송,배송상태,상품 부분 발송,JOBER0529_1656293628944,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, #{일자} 부로 정보 수신 거부 처리되었습니다. 감사합니다.",서비스이용,이용안내/공지,개인정보 수신 철회 안내,JOBER0529_1638770119490,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요. #{수신자명}님, #{수신자명}님의 제품이 발송되었습니다.  ▶택배사: #{택배사} ▶송장번호: #{송장번호} ▶제품명: #{제품명}  단순히 제품을 판매하는 것에서 그치는 것이 아니라, 제품을 모두 다 사용하실 때까지 만족하실 수 있도록 더욱 노력하겠습니다. 사용하시면서 궁금하신 점이나 불편하신 점 있으시면 문의해주세요.  오늘도 건강하고 행복한 하루 되세요. 감사합니다.",배송,배송상태,제품 발송 안내,JOBER0529_1656053513850,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요. #{수신자명}님, 주문하신 택배 배송 정보 전달드립니다.  ▶배송업체: #{배송업체} ▶주문번호: #{주문번호} ▶운송장번호: #{운송장번호}  아래 버튼을 클릭하시면 더 자세한 정보를 보실 수 있습니다.",배송,배송상태,배송 정보 안내,JOBER0529_1656053861355,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. #{수신자명}님께서 구매하신 #{상품명}}(이)가 금일 배송출고 되었습니다.  ▶배송업체: #{배송업체} ▶운송장번호: #{운송장번호}  구매해 주셔서 감사합니다.,구매,구매완료,배송 출고 안내,JOBER0529_1656053916450,자세히 확인하기,,소매업,공지/안내,,,
"주문하신 #{제품명} 제품이 #{발신 스페이스}에서 발송되어 배송중입니다.  해외 배송중에는 송장조회 시, 발송 전으로 노출되지만 세관 통과 후 국내 택배로 인계되면 배송조회가 가능합니다.  ▶ 수령 예상일 : #{수령 예상일}  감사합니다.",배송,배송상태,배송 안내,JOBER0529_1656223436212,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, #{발신 스페이스} 입니다. 회원님의 마지막 로그인이 #{비로그인 기간}을 경과하여 휴면 회원으로 전환됩니다.  ※ 로그인 후 본인확인을 거치면 활동 회원으로 전환됩니다.",회원,회원가입,휴면 전환 알림,JOBER0529_1642748737756,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요, 발신 스페이스입니다.  개인정보보호법에 따라 제공하신 개인 정보 이용내역을 안내드립니다. (연 1회 안내)  1. 개인 정보의 수집, 이용 목적 및 수집한 개인 정보의 항목 ▶개인 정보 수집 항목 : 개인 정보 수집 항목 ▶개인 정보 이용 목적 이용 목적  2. 개인 정보를 제공받는 자와 그 제공 목적 및 제공한 개인 정보의 항목 ▶개인 정보 제공하는 곳 없음.  수신자명 회원님의 개인 정보 이용내역과 현황은 홈페이지 > 개인 정보처리 방침에서 확인하실 수 있습니다.",법적고지,주문/예약,개인 정보 이용내역 안내,JOBER0529_1643015154812,자세히 확인하기,,기타,공지/안내,,,
안녕하세요 #{수신자명}고객님. #{발신 스페이스}입니다.  개인정보보호법 제39조의8항(개인정보 이용내역의 통지)에 따라 연 1회 회원님의 개인정보 이용내역을 안내해 드리고 있습니다. 아래 개인정보 이용내역 상세보기를 누르셔서 자세한 내용을 확인해 주시기 바랍니다.,서비스이용,이용안내/공지,개인정보 수집이용 동의 완료 안내,JOBER0529_1656221485762,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요.   소중한 개인정보보호를 위해 회원님의 계정 중 장기간 미이용 상태의 계정을 삭제 처리할 예정입니다. ▶ 계정 삭제 예정일 : #{계정 삭제 예정일}  서비스의 지속적인 이용을 원하신다면 삭제일 이전에 로그인 부탁드립니다.   문의사항은 홈페이지를 통해 접수해 주시면 친절히 안내해 드리겠습니다. 감사합니다.,서비스이용,이용안내/공지,계정 삭제 예정 안내,JOBER0529_1656221523120,자세히 확인하기,,기타,회원 관리,,,
"안녕하세요 #{수신자명}님, 고객님의 #{서비스}접수가 정상적으로 처리되었습니다. 아래 버튼을 누르시면 접수 내역을 자세히 확인하실 수 있습니다.  감사합니다.",서비스이용,이용안내/공지,서비스 접수 완료 안내,JOBER0529_1638843054202,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 요청하신 방문서비스 일정 안내 드립니다.  ▶ 방문예정 : #{방문예정} ▶ 접수내용 : #{접수내용}  상세 접수 내역을 확인하시려면 아래 버튼을 클릭해주세요.",서비스이용,방문서비스,방문일정안내,JOBER0529_1638843549639,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 신청하신 #{서비스} 이용 확인 안내입니다. 아직 이용해보시지 않았다면 아래의 버튼을 클릭하여 이용해 보세요!",서비스이용,이용도구,이용 확인 안내,JOBER0529_1638844051157,자세히 확인하기,,서비스업,공지/안내,,,
안녕하십니까?  수신자명님께서 신청하신 서비스 서비스 이용 확인 알림톡입니다.  지금까지 발신 스페이스을 이용해 주셔서 감사드립니다. 앞으로 더 좋은 서비스로 찾아뵙겠습니다!,서비스이용,이용도구,안녕하십니까?,JOBER0529_1638938178096,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 문의하신 재난지원금 사용 안내드립니다. 재난지원금 사용이 가능합니다.",서비스이용,이용안내/공지,재난지원금 사용안내,JOBER0529_1638938307991,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 회원이 되신 것을 축하드립니다. 고객님들을 위해 다양한 정보를 안심하고 보실 수 있도록 카카오톡 알림톡 서비스를 오픈하였습니다. 의 유익한 소식들 전해 드릴게요.  앞으로도 많은 사랑 부탁드립니다!",서비스이용,이용안내/공지,상담톡 안내,JOBER0529_1638938464256,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요 #{수신자명}님, 신청하신 신규 오픈 이벤트에 당첨 되었습니다. 오픈기념 할인행사 진행하오니 많은 관심 부탁드립니다. #{지점명}점으로 아래의 연락처로 문의주세요.  ▶ 매장 위치 : #{매장 위치}",서비스이용,이용안내/공지,Grand Open 안내,JOBER0529_1639036563430,자세히 확인하기,,소매업,쿠폰,,,
