,템플릿 코드,템플릿 이름,템플릿 내용,카테고리,서브카테고리,제안 버튼명
,JOBER0411_1656221857743,출입 알림,"안녕하세요 #{수신자명}님,
 출입을 위한 정보 전달드립니다.
 
 ▶ 아이디 : #{아이디}
 ▶ QR코드 : #{QR코드}
 ▶ 유효기간 : #{유효기간}
 ▶ 공지사항 : #{공지사항}
 
 ※ 입실하시려면 QR 코드를 인식해주세요.
 ※ 유효기간 내에 사용해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656222018112,상담 만족도 참여 감사,"안녕하세요 #{수신자명} 고객님,
 
 바쁘신 중에도 전화 상담 만족도 설문에 의견을 주셔서 감사드립니다.
 
 ▶ 설문 내용 : #{설문 내용}
 ▶ 설문일 : #{설문일}
 
 불편 드린 점은 빠른 시일 내에 개선하고 만족스러운 서비스를 제공하겠습니다.
 
 감사합니다.",서비스이용,이용안내/공지,예약하기
,JOBER0411_1638843081144,작업 완료 안내,"안녕하세요 #{수신자명}님,
 고객님이 요청하신 #{서비스} 작업이 완료되었습니다.
 
 방문 부탁 드립니다.
 감사합니다.",서비스이용,방문서비스,예약하기
,JOBER0411_1642750597339,회원가입 완료 안내,"안녕하세요 #{수신자명} 고객님,
 회원가입 및 SNS 수신 동의에 감사드립니다.
 
 ※ 수신 동의 취소는 홈페이지에서 진행하실 수 있습니다.
 
 감사합니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1643015944536,거절 안내,"요청하신 일정이
 일정에 어려움이 있어 취소되었습니다.
 
 ▶신청 일정명: #{신청 일정명}
 ▶요청한 날짜와 시간: #{요청일시}
 
 아래의 버튼을 클릭하시면 강사의 일정을 확인하실 수 있습니다.
 감사합니다.",서비스이용,방문서비스,확인하기
,JOBER0411_1650507222259,회원혜택안내,"안녕하세요 #{수신자명}님,
 회원가입이 완료되었습니다.
 혜택을 안내드립니다.
 
 ▶ 혜택 : #{혜택}
 ▶ 유효기간 : #{유효기간}
 
 ※ 이 메시지는 고객님의 동의에 의해 지급된 혜택 안내 메시지입니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1650507513114,회원가입,"안녕하세요. #{수신자명} 고객님,
 회원이 되신 것을 진심으로 환영합니다.
 
 회원가입 혜택으로 지금 #{상품} 구매 시 할인된 가격으로 구매하실 수 있습니다.
 
 ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1655975553181,수업 일정 안내,"안녕하세요. #{수신자명}님,
 첫 수업이 예정되어 있습니다.
 수업 일정을 확인해주세요.
 
 ▶ 수업명 : #{수업명}
 ▶ 수업 일정 : #{수업 일정}
 ▶ 수업 장소 : #{수업 장소}
 
 수업 일정 변경이 필요한 경우, 문의 부탁드립니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656052963305,구매 감사 인사,"안녕하세요 #{수신자명}님,
 저희 제품을 믿고 구매해 주셔서 감사 드립니다.
 항상 믿을 수 있는 제품으로 찾아뵐 수 있도록 노력하는 당사이 되겠습니다.
 
 받아보신 제품에 이상이 있거나 문의 사항이 있을 경우 아래 버튼을 클릭하여 문의해 주세요.",서비스이용,이용안내/공지,문의하기
,JOBER0411_1656053665915,이용 후기 이벤트,"안녕하세요 #{수신자명}님,
 기다리시던 #{서비스} 잘 받으셨나요?
 이용 후기를 남겨주시면 #{상품}을 선물로 드립니다!
 
 아래 링크를 클릭해 지금 후기를 작성해 보세요~",서비스이용,피드백 요청,후기작성
,JOBER0411_1655798192604,회원 가입,"안녕하세요.
 이용권이 지급되었습니다.
 
 ▶ 회원번호 : #{회원번호}
 ▶ 등록이용권 : #{등록이용권}
 ▶ 이용기간 : #{이용기간}
 
 문의사항은 아래 버튼을 클릭해주세요.
 
 ※ 이 메시지는 고객님의 동의에 의해 지급된 이용권 안내 메시지입니다.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1655798299038,회원 가입 승인 알림,"안녕하세요 #{수신자명}님.
 회원가입 신청이 승인되었습니다.
 
 ▶ 회원명 : #{회원명}
 ▶ 승인일자 : #{승인일자}
 
 아래 버튼을 클릭하여 여러 가지 정보를 확인해보세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1655798724543,회원 가입 거절 알림,"회원가입 신청이 거절되었습니다.
 
 문의사항은 아래 버튼을 클릭해주세요.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1638851385924,자동 결제 안내,"안녕하세요 #{수신자명}님,
 고객님의 자동 결제가 실행되었습니다.
 
 충전 방식 : 월 정기 결제
 시작 일시 : #{시작 일시}
 충전 금액 : #{충전금액}원
 다음 예상 결제일 : #{다음예상결제일}
 
 결제를 취소하시려면 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,결제하기
,JOBER0411_1638850958994,서비스 해지 안내,"안녕하세요 #{수신자명}님,
 서비스가 해지되었습니다.
 
 그동안를 이용해 주셔서 감사합니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1642987899693,정기 배송 신청 완료,"안녕하세요 #{수신자명} 고객님,
 #{상품명} 정기배송이 정상 접수되었습니다.
 앞으로 #{배송기간}개월간 매달 고객님을 위하여 프로그램을 준비해드리겠습니다.
 
 감사합니다.",서비스이용,방문서비스,신청하기
,JOBER0411_1642987967069,수강 연장 신청 안내,"안녕하세요 #{수신자명} 님, 
 #{강의명} 결제 신청이 완료되었습니다.
 
 공부를 시작하고자 결심한 지금 이 마음가짐이 변치 않도록 아래 입금기한까지 수강료 납부 후 학습을 시작하세요.
 
 ▶입금금액: #{입금금액}원
 ▶입금계좌: #{입금계좌}
 
 감사합니다.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1655974827761,배달 완료,"배달이 완료되었습니다.
 감사합니다.
 
 ▶ 주문내역 : #{주문내역}
 ▶ 주문번호 : #{주문번호}
 ▶ 배달주소 : #{배달주소}
 
 맛있게 드시고, 다음에 또 이용해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1655974885674,수강 신청 결제 완료 안내,"안녕하세요. #{수신자명}님,
 수강신청 및 결제가 완료되었습니다.
 
 <수강 신청 내역>
 
 ▶ 수업과목 : #{수업과목}
 ▶ 수업일시 : #{수업일시}
 ▶ 수업기간 : #{수업기간}
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1655975311621,주문 취소 안내,"안녕하세요. #{수신자명}님.
 
 요청하신 취소 및 반품/교환 접수가 완료되었습니다.
 
 ▶ ID : #{ID}
 ▶ 요청일 : #{요청일}
 
 다음에는 더 좋은 상품으로 보답해드리겠습니다.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1642751850875,정산 신청 완료,"#{수신자명}님,
 신청하신 정산 내용을 확인해 주세요.
 
 ▶정산 신청 금액: #{정산 신청 금액} 원
 ▶정산 신청일: #{정산 신청일}
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656221823350,제출서류 안내,"안녕하세요 #{수신자명}님,
 #{서류명} 서류가 아직 제출되지 않았습니다.
 
 ▶ 서류 제출 기한일 : #{제출기한일}
 
 #{서류명} 서류는 #{제출기한일} 이내로 제출되어야 합니다. 기한 이내 제출되지 않을 경우 추가 신청이 불가합니다.
 
 감사합니다.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1656221929854,수강권 사용 등록 완료 안내,"안녕하세요 #{수신자명} 회원님,
 신청하신 수강권이 지급 완료되었습니다.
 
 수강권을 등록하시고, 주의 사항 확인 부탁드립니다.
 
 ▶ 수강권 : #{수강권}
 ▶ 수강권 등록 방법 : #{수강권 등록 방법}
 ▶ 주의 사항 : #{주의 사항}
 
 자세한 내용은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638782420182,응모 당첨 안내,"고객님, 축하드립니다!
 고객님이 응모하신 이벤트에 당첨되셨습니다.
 
 자세한 내용은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1638782606467,후기 등록 완료,"안녕하세요 #{수신자명}님,
 #{수업명} 수업 후기가 등록되었습니다.
 회원님의 후기를 확인하시고 답글을 달아주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638782649515,거래완료알림,"안녕하세요 #{수신자명}님,
 거래가 완료 되었습니다.
 
 자세한 내역은 아래 버튼을 클릭하여 확인해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656221993271,행사 안내,"안녕하세요 #{수신자명} 고객님,
 행사에 참여해주셔서 감사합니다.
 
 ▶ 성함 : #{성함}
 ▶ 날짜 : #{날짜}
 ▶ 장소 : #{장소}
 
 날짜와 장소를 확인해주세요.
 
 ※ 해당 메시지는 고객님의 알림 신청에 의해 발송되는 일회성 메시지입니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638782384529,응모완료안내,"안녕하세요 #{수신자명}님,
 #{발신 스페이스}을 이용해주셔서 감사합니다.
 회원님께서 신청하신 #{이벤트명} 이벤트의 응모가 완료되었습니다.
 
 자세한 내용은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1650507255660,연장 안내,"안녕하세요 #{수신자명}님,
 회원님의 #{상품명} 이용 종료일이 임박하여 연장안내 드립니다.
 
 [상품정보]
 ▶ 이용기간 : #{이용기간}
 
 ※ 이 메시지는 고객님의 동의에 의해 발송되는 상품 안내 메시지입니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638781786178,제안서 채택 알림,"안녕하세요 #{수신자명} 님,
 #{수신자명}님이 작성하신 제안서가 채택되었습니다. 
 연락 부탁드리겠습니다.
 감사합니다.
 
 ▶ 제안서 : #{제안서}",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1650507545768,리뷰 이벤트 당첨 안내,"안녕하세요. 입니다.
  이벤트 당첨자 발표 안내드립니다.
 이번 이벤트에 참여해 주신 것을 진심으로 감사드립니다.
 
 상품 배송은 순차적으로 도와드릴 예정이며, 상품에 대한 솔직한 평가를 남겨주시면 감사드리겠습니다.
 
 감사합니다.
 
 ※ 이 메시지는 고객님의 이벤트 신청 결과 안내 메시지입니다.",서비스이용,피드백 요청,신청하기
,JOBER0411_1655977972095,견적 접수 안내,"안녕하세요 #{수신자명}님, 
 요청하신 견적 접수되었습니다.
 빠른 시일 내에 상담하도록 하겠습니다
 감사합니다.
 
 <문의사항>
 ▶ 고객센터 : #{고객센터}
 ▶ 이메일 : #{이메일}",서비스이용,신청접수,신청하기
,JOBER0411_1655977885758,베스트 리뷰 선정 안내,"안녕하세요. #{수신자명}고객님.
 이번 달의 베스트 리뷰로 선정되어, 혜택 안내드립니다.
 
 ▶ 베스트 리뷰 상품 : #{베스트 리뷰 상품}
 ▶ 주소 : #{주소}
 
 앞으로도 많은 관심 부탁드립니다.
 감사합니다.
 
 ※ 최근 주문하신 주소지로 보내드리오니, 변경이 필요할 시 문의 부탁드립니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1656222260126,책자 발행 알림,"안녕하세요, 발신 스페이스입니다.
 
 이번 달 책자가 발행되어, 신청하신 정기 발행 책자 안내해 드립니다.
 
 아래 버튼을 클릭하여 책자를 확인해 주세요!
 
 ※ 해당 메시지는 고객님의 신청에 의해 발송됩니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656222087704,제안서 도착 알림,"#{수신자명}님 안녕하세요.
 
 작성하신 제안서가 성공적으로 전송되었습니다.
 
 ▶ 문의서 제목 : #{문의서 제목}
 ▶ 제안서 제목 : #{제안서 제목}
 
 담당자가 제안서를 열람 및 채택하기까지 기다려주세요.",서비스이용,이용안내/공지,문의하기
,JOBER0411_1656291393694,결과 확인 안내,"안녕하세요 #{수신자명}님, 
 결과가 홈페이지에 발표되었습니다.
 하단 ""결과보기"" 클릭하시어 확인 부탁드립니다.
 
 ▶ 문의사항 : #{문의사항}",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656222434696,신규 발간 안내,"안녕하세요 #{수신자명}님,
 고객님께서 요청하신 신규 발간 안내해 드립니다.
 
 ▶ 상품명 : #{상품명}
 ▶ 발간일 : #{발간일}
 
 ※ 이 메시지는 정기 발간 안내를 요청하신 회원에게 전송되는 메시지입니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1638770087395,광고 수신 동의,"안녕하세요 #{수신자명}님,
 이 메시지는 정보통신망법에 따라 2년 마다 발송되는 광고성 정보 수신동의를 확인하는 메시지 입니다.
 
 ▶ 이전 수신동의일자: #{이전 수신동의일자}
 
 앞으로도 유익한 소식과 다양한 혜택으로 찾아 뵙겠습니다.
 
 메시지 수신을 원치 않으시면 [마이페이지] > [개인정보 수정] > [마케팅 수신 동의] #{서비스} 에서 혜택 정보 받기 체크를 수신동의를 해제하시면 됩니다.
 
 *수신동의 철회시에서 제공하는 서비스 및 혜택 안내를 받아 보실 수 없습니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656303910583,교육 안내,"안녕하세요 #{수신자명}님,
 이번 교육을 신청해주신 회원님께 감사드리며 교육 내용 안내해 드립니다.
 
 ▶ 교육명 : #{교육명}
 ▶ 교육 내용 : #{교육 내용}
 ▶ 교육 일시 : #{교육 일시}
 
 교육에 대한 자세한 사항은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656223827929,개강 안내,"안녕하세요 #{수신자명} 멤버님.
 #{발신 스페이스}입니다.
 
 #{발신 스페이스}에서 시작되는 온라인 라이브 교육 안내해 드립니다.
 온라인 수업은 #{수업 방식}으로 진행되며 접속 시, 메일로 드리는 안내문 참고 부탁드립니다.
 
 ※ 강연 입장 시, 오디오 OFF 설정 부탁드립니다.
 ※ 늦지 않게 입장해주세요.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1642987636918,주문 상품 도착 안내,"안녕하세요 #{수신자명} 고객님,
 주문하신 상품이 매장에 도착하였습니다.
 
 ▶상품: #{상품}
 ▶방문 시간: #{방문 시간}
 
 상품 수령해주시기 바랍니다.
 감사합니다.",서비스이용,방문서비스,예약하기
,JOBER0411_1655978310388,샘플 배송 완료,"안녕하세요. #{수신자명}고객님.
 #{상품명} 샘플 상품은 잘 받아보셨나요?
 
 보내드린 상품을 수령하신 후 충분히 사용해보시고 마음에 드신다면 홈페이지에서 직접 확인해보세요.
 
 항상 이용에 감사드립니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638770119490,개인정보 수신 철회 안내,"안녕하세요 #{수신자명}님,
 #{일자} 부로 정보 수신 거부 처리되었습니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656221485762,개인정보 수집이용 동의 완료 안내,"안녕하세요 #{수신자명}고객님.
 #{발신 스페이스}입니다.
 
 개인정보보호법 제39조의8항(개인정보 이용내역의 통지)에 따라 연 1회 회원님의 개인정보 이용내역을 안내해 드리고 있습니다.
 아래 개인정보 이용내역 상세보기를 누르셔서 자세한 내용을 확인해 주시기 바랍니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656221523120,계정 삭제 예정 안내,"안녕하세요. 
 
 소중한 개인정보보호를 위해 회원님의 계정 중 장기간 미이용 상태의 계정을 삭제 처리할 예정입니다.
 ▶ 계정 삭제 예정일 : #{계정 삭제 예정일}
 
 서비스의 지속적인 이용을 원하신다면 삭제일 이전에 로그인 부탁드립니다. 
 
 문의사항은 홈페이지를 통해 접수해 주시면 친절히 안내해 드리겠습니다. 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638843054202,서비스 접수 완료 안내,"안녕하세요 #{수신자명}님,
 고객님의 #{서비스}접수가 정상적으로 처리되었습니다.
 아래 버튼을 누르시면 접수 내역을 자세히 확인하실 수 있습니다.
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638843549639,방문일정안내,"안녕하세요 #{수신자명}님,
 고객님께서 요청하신 방문서비스 일정 안내 드립니다.
 
 ▶ 방문예정 : #{방문예정}
 ▶ 접수내용 : #{접수내용}
 
 상세 접수 내역을 확인하시려면 아래 버튼을 클릭해주세요.",서비스이용,방문서비스,확인하기
,JOBER0411_1638844051157,이용 확인 안내,"안녕하세요 #{수신자명}님,
 고객님께서 신청하신 #{서비스} 이용 확인 안내입니다.
 아직 이용해보시지 않았다면 아래의 버튼을 클릭하여 이용해 보세요!",서비스이용,이용도구,확인하기
,JOBER0411_1638938178096,안녕하십니까?,"안녕하십니까?
 
 수신자명님께서 신청하신 서비스 서비스 이용 확인 알림톡입니다.
 
 지금까지 발신 스페이스을 이용해 주셔서 감사드립니다.
 앞으로 더 좋은 서비스로 찾아뵙겠습니다!",서비스이용,이용도구,확인하기
,JOBER0411_1638938307991,재난지원금 사용안내,"안녕하세요 #{수신자명}님,
 문의하신 재난지원금 사용 안내드립니다.
 재난지원금 사용이 가능합니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1638938464256,상담톡 안내,"안녕하세요 #{수신자명}님,
 회원이 되신 것을 축하드립니다.
 고객님들을 위해 다양한 정보를 안심하고 보실 수 있도록 카카오톡 알림톡 서비스를 오픈하였습니다.
 의 유익한 소식들 전해 드릴게요.
 
 앞으로도 많은 사랑 부탁드립니다!",서비스이용,이용안내/공지,확인하기
,JOBER0411_1639036563430,Grand Open 안내,"안녕하세요 #{수신자명}님,
 신청하신 신규 오픈 이벤트에 당첨 되었습니다.
 오픈기념 할인행사 진행하오니 많은 관심 부탁드립니다.
 #{지점명}점으로 아래의 연락처로 문의주세요.
 
 ▶ 매장 위치 : #{매장 위치}",서비스이용,이용안내/공지,신청하기
,JOBER0411_1656221448865,정보통신망법 제50조 8항,"- 수신동의 일자 : #{수신동의일자}
 
 수신동의를 철회하고자 하는 하는 경우 회원정보에서 미동의로 직접 변동하시거나, 고객센터로 문의하여 주시기 바랍니다.
 
 고객님의 소중한 개인정보를 안전하게 관리하기 위하여 최선을 다하겠습니다.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638842949347,입학시험 결과 발표,"안녕하세요 #{수신자명}님,
 입학시험 결과가 홈페이지에 발표되었습니다.
 하단 ""결과보기""를 통해 확인하실 수 있습니다.
 
 결과관련 전화상담은 금일중 순차적으로 진행됨을 알려드립니다.
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1638842983074,서비스 개편 안내,"안녕하세요 #{수신자명}님,
 요청하신 서비스 개편을 안내드립니다.
 내용은 다음과 같습니다.
 #{개편사항}
 
 감사합니다.",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1642983758449,업무 안내,"안녕하세요! 출근 1시간 전입니다! 
 사업장 도착 시, 해당 알림에 도착 또는 1 이라고 답장해주세요.
 
 서비스일/시간 : #{서비스일시간} 
 주소 : #{주소}",서비스이용,이용안내/공지,자세히보기
,JOBER0411_1642983861019,서비스 이용 확인 안내,"#{수신자명}님께서 신청하신 서비스 이용 확인 알림톡입니다.
 
 지금까지 이용해 주셔서 감사드립니다.
 앞으로 더 좋은 서비스로 찾아뵙겠습니다!",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642984022984,서류 준비 완료,"안녕하세요 #{수신자명}님,
 고객님께서 요청하신 서류가 준비되었습니다.
 
 ▶서류: #{서류}
 ▶수령가능시간: #{수령가능시간}
 ▶문의전화: #{문의전화}
 
 감사합니다.",서비스이용,방문서비스,문의하기
,JOBER0411_1642986992602,모바일 탑승권 안내,"안녕하세요 #{수신자명}님.
 고객님이 등록하신 모바일 탑승권 안내 드립니다.
 
 ▶시간: #{시간}
 ▶탑승권 번호: #{탑승권 번호}
 
 시간이 지난 탑승권은 만료됩니다.
 자세한 내용은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1642987053738,사용 만족도 조사,"안녕하세요 #{수신자명} 고객님,
 고객 서비스 개선 및 만족도 향상을 위하여 고객님의 소중한 의견을 듣고자 합니다.
 아래 ""만족도조사"" 버튼을 클릭하여 간단한 설문 조사에 참여해 주시면 감사하겠습니다.
 
 본 문자는 고객님께서 문자를 통한 설문조사에 동의해주셔서 발송되었습니다.
 본 설문조사는 광고, 홍보나 판매 기타 판촉을 위한 것이 아니며 그러한 목적으로 사용되지 않습니다.
 
 감사합니다.",서비스이용,피드백 요청,자세히보기
,JOBER0411_1642983681556,정기 방문 서비스 안내,"안녕하세요 입니다.
 내일 에 매니저가 방문 드려 
 정기 서비스 예정입니다. 
 
 문의사항은 아래를 눌러주세요.",서비스이용,방문서비스,예약하기
,JOBER0411_1642983721421,정기 렌탈 케어,"안녕하세요 #{수신자명}님,
 고객님이 신청하신 정기 렌탈 케어 서비스가 예정되어 있습니다.
 일정을 확인해주세요.
 
 ▶ 방문 예정일 : #{방문 예정일}
 ▶ 제품 : #{제품}
 
 일정을 변경하시려면 아래를 클릭해 주세요.",서비스이용,방문서비스,확인하기
,JOBER0411_1642983400613,문의 접수 완료 안내,"안녕하세요 #{수신자명} 고객님, 
 문의가 접수되었습니다.
 
 <신청 접수 내역>
 ▶접수자: #{접수자}
 ▶내용: #{내용}
 
 다른 문의가 있으실 경우 아래 버튼을 클릭해 주세요.",서비스이용,신청접수,확인하기
,JOBER0411_1642983424365,해지 신청 안내,"고객님의 해지 신청이 정상 접수되었습니다. 
 
 ▶해지 완료 예정일: #{해지 완료 예정일}
 
 ※ 해지 취소는 2일 이내 고객센터를 통해 가능합니다. 이후에는 해지가 진행되어 재계약을 원하시는 경우 신규 계약 신청이 필요하다는 점 유의하시기 바랍니다.",서비스이용,신청접수,신청하기
,JOBER0411_1642983544671,처리 완료 안내,"안녕하세요 #{수신자명}님,
 
 저희에 요청하신
 #{서비스} 처리를 완료하였습니다.
 
 지금 확인하시려면, 아래 버튼을 클릭해주세요.
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642983575517,[제작 완료 안내},"안녕하세요입니다.
 제작을 완료하였으니 확인해 주세요!
 
 하단 ""확인하기"" 버튼을 누르시면 바로 확인이 가능하세요.
 
 ※ 상담 문의: 상담문의",서비스이용,이용안내/공지,확인하기
,JOBER0411_1642983609501,견적서 확정 알림,"#{수신자명}님 견적서 내역에서 주문하기 버튼을 클릭하시어 주문을 진행해 주시기 바랍니다.
 
 ▶견적번호: #{견적번호}
 ▶문의: #{문의}
 
 감사합니다.",서비스이용,이용도구,확인하기
,JOBER0411_1643015297050,신청 안내,"안녕하세요 #{수신자명}님,
 #{발신 스페이스}입니다.
 
 모바일로 아래 ""예약 접수하기"" 버튼을 클릭하여 간편하게 예약접수를 하실 수 있습니다. 금액은 #{금액}이며, 당일 수납해 주시면 됩니다.
 
 감사합니다.",서비스이용,신청접수,신청하기
,JOBER0411_1642991185285,주문 접수 완료 안내,"#{수신자명}님 주문접수가 완료 되었습니다.
 
 <주문정보>
 ▶주문품목: #{주문품목}
 ▶주문번호: #{주문번호}
 
 감사합니다.",서비스이용,신청접수,확인하기
,JOBER0411_1650508143218,만료 안내,"안녕하세요 #{수신자명}님, 입니다.
 
 #{수신자명} 고객님이 신청하신 #{서비스} 기간이 만료될 예정입니다.
 
 자세한 내용은 아래 ""자세히보기"" 버튼을 클릭해주세요.
 
 ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,신청하기
,JOBER0411_1655974002509,휴무일 안내,"안녕하세요.
 휴무일 안내드립니다.
 
 ▶ 기간: #{기간}
 ▶ 예약안내: #{예약안내}",서비스이용,이용안내/공지,예약하기
,JOBER0411_1655974202612,보강 수업 확정 안내,"안녕하세요 #{수신자명}님,
 보강 수업이 확정 처리되었습니다.
 
 ▶ 수강자명 : #{수강자명}
 ▶ 보강수업 일자 : #{보강수업 일자}
 ▶ 보강수업 시간 : #{보강수업 시간}
 
 감사합니다.
 
 자세한 시간표는 아래 ""시간표 확인하기"" 를 클릭해주세요.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1656052985637,고객 만족도 조사,"안녕하세요 #{수신자명}님, 
 더 나은 서비스를 위해 고객 만족도 조사를 진행하고자 합니다.
 아래 버튼을 눌러주시면 만족도 조사 페이지로 이동되오니, 많은 관심과 참여 부탁드립니다.",서비스이용,피드백 요청,자세히보기
,JOBER0411_1656053070112,신청 완료 안내,"안녕하세요 #{수신자명}님,
 신청이 완료 되었습니다.
 
 ▶ 신청 정보 : #{신청 정보}
 ▶ 신청자 : #{신청자}
 
 아래 버튼을 누르시면 자세한 사항을 확인하실 수 있습니다.",서비스이용,신청접수,확인하기
,JOBER0411_1656053359053,설문안내,"안녕하세요 #{수신자명}님,
 제품을 주문해주셔서 감사합니다.
 
 #{수신자명}님께 보다 나은 서비스를 제공하기 위해 #{수신자명}님의 의견을 공유해 주시면 이를 반영하여 개선된 서비스를 제공할 수 있도록 노력하겠습니다.
 
 소중한 의견 부탁드립니다.
 감사합니다.",서비스이용,피드백 요청,자세히보기
,JOBER0411_1655974377659,수강 신청 접수 완료 안내,"안녕하세요. #{수신자명}님,
 수강신청이 접수되었습니다.
 
 <수강 신청 내역>
 
 ▶ 수업과목 : #{수업과목}
 ▶ 수업일시 : #{수업일시}
 ▶ 수업기간 : #{수업기간}
 
 수업 시작 날짜 전까지 결제하셔야 수강이 가능합니다.
 감사합니다.",서비스이용,신청접수,확인하기
,JOBER0411_1655974466946,수선 완료 안내,"안녕하세요 #{수신자명} 고객님,
 요청하신 수선이 완료되었습니다.
 방문하여 의류를 회수해주세요.
 
 ▶ 고객명 : #{고객명}
 ▶ 수선품목 : #{수선품목}
 ▶ 영업시간 : #{영업시간}
 
 항상 #{발신 스페이스}을 이용해주셔서 감사합니다.",서비스이용,방문서비스,예약하기
,JOBER0411_1655975512508,시험 결과 안내,"#{수신자명}님의 #{시험명} 시험 결과가 발표되었습니다.
 홈페이지에 방문하여 시험 결과 확인 부탁드립니다.
 
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1655977200788,퇴실 알림,"안녕하세요. #{수신자명}님.
 퇴실 시간이 임박하여 안내드립니다.
 
 ▶ 지점 : #{지점}
 ▶ 아이디 : #{아이디}
 ▶ 퇴실 시간 : #{퇴실 시간}
 
 이용해 주셔서 감사합니다.",서비스이용,방문서비스,자세히보기
,JOBER0411_1655977357229,이용 안내,"안녕하세요 #{수신자명}고객님,
 이용 안내드립니다.
 
 ▶ 입실일 : #{입실일}
 ▶ 퇴실일 : #{퇴실일}
 ▶ 주의사항 :
 #{주의사항}
 
 주의사항 확인하시고 편안하게 이용해주세요.
 감사합니다.",서비스이용,이용안내/공지,확인하기
,JOBER0411_1655977584952,상담 신청 안내,"안녕하세요. #{수신자명}님.
 고객님의 상담 요청이 접수되었습니다.
 
 ▶ 접수일자 : #{접수일자}
 ▶ 상담사 : #{상담사}
 ▶ 상담일정 : #{상담일정}
 
 상담사가 배정되었습니다.
 감사합니다.",서비스이용,신청접수,신청하기
,JOBER0411_1655977744550,만족도 조사 안내,"안녕하세요. #{수신자명}고객님.
 오늘 구매하신 제품은 어떠셨나요?
 
 아래 설문조사를 통해 고객님의 솔직한 의견을 말씀해주세요.
 
 고객님의 소중한 의견을 통해 좀 더 나은 서비스를 제공하도록 하겠습니다.
 감사합니다.",서비스이용,피드백 요청,자세히보기
,JOBER0411_1656053806545,서비스 완료 알림,"안녕하세요 #{수신자명}님,
 고객님의 #{서비스}가 완료되었습니다.
 방문하셔서 찾아가주시기 바랍니다.
 
 항상 #{발신 스페이스}를 찾아주셔서 감사합니다.
 
 ▶ 찾아오시는 길: #{찾아오시는 길}",서비스이용,방문서비스,예약하기
